arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,sfid,inception_score,independent_top1,independent_target_probability,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,complete
a2_full_path_01,A2,a2_full_path,full_path,candidate,heun64,0.75,1.0,False,48.68421616152796,210.67705585134445,52.00670623779297,0.7870000004768372,0.677502453327179,740.0,0.0,0.0,0.0,502.7965379906818,True
a2_full_path_02,A2,a2_full_path,full_path,candidate,heun64,1.25,0.25,False,45.52174259430848,208.1509762439066,63.17781066894531,0.859000027179718,0.778786838054657,740.0,0.0,0.0,0.0,503.6592314648442,True
a2_full_path_03,A2,a2_full_path,full_path,candidate,heun64,1.25,1.0,False,45.5223409860356,208.1350381494558,63.16257095336914,0.8569999933242798,0.7787988185882568,740.0,0.0,0.0,0.0,507.61477567255497,True
a2_full_path_04,A2,a2_full_path,full_path,candidate,heun64,1.75,0.25,False,47.511222110033486,207.28233385597878,67.99811553955078,0.9020000100135803,0.8313307166099548,740.0,0.0,0.0,0.0,503.17740925354883,True
a2_full_path_05,A2,a2_full_path,full_path,candidate,heun64,1.75,1.0,False,47.47594010119559,207.27935839168754,67.82247924804688,0.902999997138977,0.8315197825431824,740.0,0.0,0.0,0.0,504.74362343829125,True
a2_full_path_06,A2,a2_full_path,full_path,candidate,heun64,2.25,0.25,False,51.06223492724291,207.26142019975623,70.34771728515625,0.921999990940094,0.8669233322143555,740.0,0.0,0.0,0.0,502.58974810503423,True
a2_full_path_07,A2,a2_full_path,full_path,candidate,heun64,2.25,1.0,False,51.052612776775845,207.29471283985845,70.18511962890625,0.9229999780654907,0.8666385412216187,740.0,0.0,0.0,0.0,504.44762038672343,True
a2_full_path_08,A2,a2_full_path,full_path,candidate,heun64,2.75,0.25,False,53.92380224443917,207.6058906627734,70.34516906738281,0.9390000104904175,0.8832563161849976,740.0,0.0,0.0,0.0,503.7182733928785,True
a2_full_path_09,A2,a2_full_path,full_path,candidate,heun64,2.75,1.0,False,53.914947130056476,207.63848226188225,70.36557006835938,0.9390000104904175,0.8831227421760559,740.0,0.0,0.0,0.0,503.86722476175055,True
a3_terminal_inverse_00,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,0.75,0.5,False,47.97107405968029,210.33821540963618,52.89023971557617,0.7990000247955322,0.6887568831443787,612.0,0.0,0.0,0.0,421.90467362012714,True
a3_terminal_inverse_01,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,0.75,1.0,False,47.2893587335592,209.9298887266184,53.69640350341797,0.8140000104904175,0.7029564380645752,612.0,0.0,0.0,0.0,418.72886113775894,True
a3_terminal_inverse_02,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,1.25,0.5,False,45.5794420354589,207.96131202501158,64.03235626220703,0.8700000047683716,0.7888481616973877,612.0,0.0,0.0,0.0,421.36298504285514,True
a3_terminal_inverse_03,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,1.25,1.0,False,45.73665274926242,207.75057143858703,64.70073699951172,0.8799999952316284,0.797941267490387,612.0,0.0,0.0,0.0,421.1972686070949,True
a3_terminal_inverse_04,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,1.75,0.5,False,47.89393965879344,207.15220934973547,68.74141693115234,0.9070000052452087,0.8378986716270447,612.0,0.0,0.0,0.0,419.1443964266218,True
a3_terminal_inverse_05,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,1.75,1.0,False,48.426257471448366,207.1306770494673,69.19882202148438,0.9089999794960022,0.8437274694442749,612.0,0.0,0.0,0.0,417.54480715468526,True
a3_terminal_inverse_06,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,2.25,0.5,False,51.70557502260647,207.4004918602875,70.00526428222656,0.9269999861717224,0.8703241944313049,612.0,0.0,0.0,0.0,418.9085395010188,True
a3_terminal_inverse_07,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,2.25,1.0,False,52.33105940048392,207.48568517101955,70.55294036865234,0.9319999814033508,0.8732362985610962,612.0,0.0,0.0,0.0,420.59105664817616,True
a3_terminal_inverse_08,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,2.75,0.5,False,54.68228250373295,207.9218091371115,70.37781524658203,0.9359999895095825,0.8837042450904846,612.0,0.0,0.0,0.0,419.75717539712787,True
a3_terminal_inverse_09,A3,a3_terminal_inverse,terminal_inverse,candidate,heun64,2.75,1.0,False,55.0452205229019,208.40482142930273,70.36580657958984,0.9319999814033508,0.883933424949646,612.0,0.0,0.0,0.0,420.4738791552372,True
a4_stochastic_coupling_00,A4,a4_stochastic_coupling,stochastic_coupling,candidate,sde_tail64,0.75,1.0,False,53.06843499240938,221.54681982662828,50.510658264160156,0.7630000114440918,0.6535232663154602,388.0,0.0,0.0,0.0,274.4446203731932,True
