noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.229999999999999982e+00,-9.571436570829672252e-01,-9.855075208083370342e-01,-9.216888274262551306e-01,-8.408480669309701394e-01
-1.225000000000000089e+00,-9.562968196629835216e-01,-9.852169173114361245e-01,-9.201466976024175182e-01,-8.378935773614821780e-01
-1.219999999999999973e+00,-9.554336298520511583e-01,-9.849205308832531536e-01,-9.185750035630486643e-01,-8.348891601591148515e-01
-1.214999999999999858e+00,-9.545537870767052402e-01,-9.846182482369834066e-01,-9.169732106263577265e-01,-8.318341551840675585e-01
-1.209999999999999964e+00,-9.536569858439756242e-01,-9.843099539390885999e-01,-9.153407757250844323e-01,-8.287279004547238870e-01
-1.205000000000000071e+00,-9.527429156853447489e-01,-9.839955303715675061e-01,-9.136771473275662192e-01,-8.255697324367022860e-01
-1.199999999999999956e+00,-9.518112611011269042e-01,-9.836748576936802380e-01,-9.119817653604354035e-01,-8.223589863440881054e-01
-1.194999999999999840e+00,-9.508617015053277832e-01,-9.833478138031322979e-01,-9.102540611330722786e-01,-8.190949964530522820e-01
-1.189999999999999947e+00,-9.498939111710472671e-01,-9.830142742967113989e-01,-9.084934572639669081e-01,-8.157770964280346426e-01
-1.185000000000000053e+00,-9.489075591764870587e-01,-9.826741124303737251e-01,-9.066993676091286147e-01,-8.124046196606929948e-01
-1.179999999999999938e+00,-9.479023093516373288e-01,-9.823271990787845187e-01,-9.048711971927034803e-01,-8.089768996217808761e-01
-1.174999999999999822e+00,-9.468778202257051024e-01,-9.819734026943042204e-01,-9.030083421399561772e-01,-8.054932702261242694e-01
-1.169999999999999929e+00,-9.458337449753633219e-01,-9.816125892654238294e-01,-9.011101896127877708e-01,-8.019530662108382835e-01
-1.165000000000000036e+00,-9.447697313738943059e-01,-9.812446222746463720e-01,-8.991761177479540290e-01,-7.983556235269357870e-01
-1.160000000000000142e+00,-9.436854217413077617e-01,-9.808693626558167011e-01,-8.972054955981714208e-01,-7.947002797444401301e-01
-1.155000000000000027e+00,-9.425804528955151751e-01,-9.804866687508974055e-01,-8.951976830762873316e-01,-7.909863744711197464e-01
-1.149999999999999911e+00,-9.414544561046473969e-01,-9.800963962661913831e-01,-8.931520309027174420e-01,-7.872132497849340105e-01
-1.145000000000000018e+00,-9.403070570406031337e-01,-9.796983982280146330e-01,-8.910678805563385652e-01,-7.833802506802727272e-01
-1.140000000000000124e+00,-9.391378757339209349e-01,-9.792925249378165997e-01,-8.889445642290512151e-01,-7.794867255280406582e-01
-1.135000000000000009e+00,-9.379465265300708232e-01,-9.788786239267536216e-01,-8.867814047842175196e-01,-7.755320265496338239e-01
-1.129999999999999893e+00,-9.367326180472657082e-01,-9.784565399097168159e-01,-8.845777157192018514e-01,-7.715155103048281227e-01
-1.125000000000000000e+00,-9.354957531358919498e-01,-9.780261147388136234e-01,-8.823328011322397746e-01,-7.674365381935683850e-01
-1.120000000000000107e+00,-9.342355288396703150e-01,-9.775871873563142245e-01,-8.800459556938655670e-01,-7.632944769716493161e-01
-1.114999999999999991e+00,-9.329515363586524668e-01,-9.771395937470584991e-01,-8.777164646231450096e-01,-7.590886992802261535e-01
-1.109999999999999876e+00,-9.316433610141717780e-01,-9.766831668903338537e-01,-8.753436036689692390e-01,-7.548185841890935333e-01
-1.104999999999999982e+00,-9.303105822158617144e-01,-9.762177367112259141e-01,-8.729266390966565758e-01,-7.504835177536253177e-01
-1.100000000000000089e+00,-9.289527734308680174e-01,-9.757431300314515221e-01,-8.704648276801387752e-01,-7.460828935852568122e-01
-1.094999999999999973e+00,-9.275695021553743702e-01,-9.752591705196752558e-01,-8.679574166999981522e-01,-7.416161134353480566e-01
-1.089999999999999858e+00,-9.261603298885781044e-01,-9.747656786413225749e-01,-8.654036439476475717e-01,-7.370825877922554392e-01
