scale,solver_index_in_ig_interval,time,delta_t,paired_nmse,paired_nrmse
1.0,76,0.7164179086685181,0.011437067535883916,0.17880210480329164,0.42284997907448413
1.0,77,0.7049808502197266,0.012067457085105704,0.17391719950079224,0.41703381098034753
1.0,78,0.6929134130477905,0.012751442506933497,0.16906310546390946,0.41117284135009385
1.0,79,0.6801619529724121,0.013495276653171517,0.1642075317653614,0.40522528519992607
1.0,80,0.6666666865348816,0.014306151645207432,0.15935420289914923,0.399191937417515
1.0,81,0.6523604989051819,0.015192373428538852,0.15447740330411663,0.3930361348580009
1.0,82,0.6371681690216064,0.016163575382874718,0.14957938466058168,0.3867549413525077
1.0,83,0.621004581451416,0.017230981304385273,0.14464000320440776,0.38031566258097727
1.0,84,0.6037735939025879,0.018407731247123693,0.13964616210826614,0.37369260376446595
1.0,85,0.5853658318519592,0.019709288001970915,0.13455833429182262,0.3668219381277824
1.0,86,0.5656565427780151,0.021153947855518607,0.12936178432399412,0.3596689927196868
1.0,87,0.5445026159286499,0.022763487366264545,0.12401330580352563,0.3521552296978218
1.0,88,0.52173912525177,0.02456398919184477,0.11847609848914996,0.3442035712905227
1.0,89,0.4971751272678375,0.026586905948820183,0.11268606220827689,0.3356874472009296
1.0,90,0.47058823704719543,0.028870443883074692,0.10657609322086728,0.3264599412192364
1.0,91,0.44171780347824097,0.031461381154632706,0.10003662346317216,0.3162856674956552
1.0,92,0.41025641560554504,0.034417484081913585,0.0929465843292602,0.30487142261822475
1.0,93,0.3758389353752136,0.037810757160412156,0.0851248754622942,0.29176167579429313
1.0,94,0.3380281627178192,0.04173187271778822,0.07633691529915533,0.27629135943629385
1.0,95,0.29629629850387573,0.04629629629629628,0.06627264560397114,0.25743474047604986
1.0,96,0.25,0.051652892561983466,0.05455121706193143,0.23356201973337068
1.0,97,0.19834710657596588,0.057996230245034086,0.04088227913891562,0.20219366740557337
1.0,98,0.14035087823867798,0.06558452205279554,0.025748280838083327,0.16046270855897743
1.2,0,1.0,0.0012610340479192184,0.8128520334631391,0.9015830707500774
1.2,1,0.9987389445304871,0.0012834952141672629,0.80873504116838,0.8992969705099534
1.2,2,0.9974554777145386,0.0013065618804039003,0.8045531581133452,0.8969688724327869
1.2,3,0.9961488842964172,0.0013302560077687042,0.799204845314153,0.8939825755092506
1.2,4,0.9948186278343201,0.0013546005621591917,0.7911662919839089,0.8894752902604484
1.2,5,0.9934640526771545,0.001379619569903734,0.7808712275663157,0.8836691844611962
1.2,6,0.9920844435691833,0.0014053381770655626,0.7684170883490452,0.8765940271009409
1.2,7,0.9906790852546692,0.0014317827126554272,0.754159390829693,0.8684235089112299
1.2,8,0.9892473220825195,0.0014589807560437817,0.7399236633204166,0.8601881557661769
1.2,9,0.9877883195877075,0.0014869612088994622,0.7263941919720192,0.8522876227964472
1.2,10,0.9863013625144958,0.00151575437200413,0.7132409120527053,0.8445359151940818
1.2,11,0.9847856163978577,0.001545392027322512,0.699076147342505,0.836107736683799
1.2,12,0.9832402467727661,0.0015759075257463229,0.6842539359891529,0.8271964313203684
1.2,13,0.9816642999649048,0.0016073358809607363,0.6706019476835888,0.8189028927068147
1.2,14,0.9800570011138916,0.001639713869929782,0.6574842975667177,0.8108540544183754
1.2,15,0.9784172773361206,0.0016730801405386853,0.6441894241548796,0.80261411908518
1.2,16,0.9767441749572754,0.0017074753269814558,0.6308028038835536,0.7942309512248648
1.2,17,0.9750367403030396,0.0017429421735359885,0.6175883107953892,0.7858678710797313
1.2,18,0.9732937812805176,0.0017795256674334459,0.6048228836796392,0.7777035962882255
1.2,19,0.9715142250061035,0.0018172731815909726,0.5921533684230308,0.7695150215707494
1.2,20,0.9696969985961914,0.001856234628056952,0.5789552337850422,0.7608910787918611
1.2,21,0.9678407311439514,0.0018964626230922876,0.5662041301375697,0.7524653680652483
1.2,22,0.9659442901611328,0.0019380126649128915,0.5536720190999053,0.7440914050705768
1.2,23,0.964006245136261,0.0019809433252113706,0.5418150666601219,0.7360808832323537
1.2,24,0.9620253443717957,0.0020253164556962577,0.5310093362731939,0.7287038741993855
1.2,25,0.9599999785423279,0.002071197411003145,0.521020989458525,0.7218178367555937
1.2,26,0.9579287767410278,0.0021186552894877364,0.511650927790312,0.7152977895885825
1.2,27,0.9558101296424866,0.002167763193548833,0.5023453863916005,0.7087632795169347
1.2,28,0.9536423683166504,0.0022185985113204465,0.4928278907462522,0.7020170159948064
1.2,29,0.9514237642288208,0.0022712432217584233,0.48361344534695316,0.6954232131205811
