family,sampling_progress,kappa,gamma,strong_error_rms,guided_error_l2,relative_equality_residual
constant_ratio,0.22,3.0,0.4999999999999997,0.36542023297385523,5.4672143489065705e-16,2.3308066421625566e-16
constant_ratio,0.23,3.0,0.5,0.36187246372168186,1.2412670766236366e-16,2.2141349038263717e-17
constant_ratio,0.24,3.0,0.5000000000000003,0.35832469446950854,5.4672143489065705e-16,1.3416342189522168e-16
constant_ratio,0.25,3.0,0.5000000000000001,0.3547769252173352,1.6653345369377348e-16,2.719494915172305e-16
constant_ratio,0.26,3.0,0.5,0.3512291559651619,1.2719202621569003e-16,2.77523595285271e-16
constant_ratio,0.27,3.0,0.5,0.3476813867129885,6.206335383118183e-17,1.5459107998276348e-16
constant_ratio,0.28,3.0,0.5000000000000001,0.34413361746081517,2.0014830212433605e-16,6.585329488893198e-17
constant_ratio,0.29,3.0,0.5000000000000001,0.3405858482086418,3.597533769998862e-16,7.057555005946558e-17
constant_ratio,0.3,3.0,0.5000000000000001,0.33703807895646837,1.6653345369377348e-16,9.801783494105043e-17
constant_ratio,0.31,3.0,0.5000000000000001,0.3334903097042951,7.850462293418876e-17,1.9370154053016466e-16
constant_ratio,0.32,3.0,0.5000000000000002,0.32994254045212174,2.7755575615628914e-16,2.7150404728155597e-16
constant_ratio,0.33,3.0,0.5000000000000002,0.3263947711999484,3.5652682413747997e-16,2.1540797857127669e-16
constant_ratio,0.34,3.0,0.5000000000000003,0.32284700194777505,5.4672143489065705e-16,1.3364781307231419e-16
constant_ratio,0.35000000000000003,3.0,0.5000000000000002,0.3192992326956017,2.0014830212433605e-16,3.54876089123689e-16
constant_ratio,0.36,3.0,0.5,0.3157514634434283,1.2719202621569003e-16,3.087060217218183e-16
constant_ratio,0.37,3.0,0.5000000000000001,0.31220369419125493,2.0014830212433605e-16,1.5398301831156128e-16
constant_ratio,0.38,3.0,0.5,0.3086559249390816,5.551115123125783e-17,1.189582713970193e-16
constant_ratio,0.39,3.0,0.5000000000000001,0.30510815568690824,3.597533769998862e-16,7.878200936870577e-17
constant_ratio,0.4,3.0,0.5000000000000002,0.30156038643473493,2.482534153247273e-16,1.988288212371829e-16
constant_ratio,0.41000000000000003,3.0,0.5000000000000001,0.29801261718256156,7.850462293418876e-17,4.3101414753993674e-16
constant_ratio,0.42,3.0,0.5000000000000001,0.2944648479303882,2.0014830212433605e-16,2.2437817637107925e-16
constant_ratio,0.43,3.0,0.5000000000000003,0.2909170786782148,4.509747244882934e-16,1.5579925863966838e-16
constant_ratio,0.44,3.0,0.5000000000000003,0.28736930942604144,4.965068306494546e-16,1.870361214606274e-16
constant_ratio,0.45,3.0,0.5,0.28382154017386807,2.7755575615628914e-17,2.524987639718471e-16
constant_ratio,0.46,3.0,0.49999999999999994,0.28027377092169475,1.5700924586837752e-16,3.1961868857195833e-16
constant_ratio,0.47000000000000003,3.0,0.5000000000000001,0.2767260016695214,2.0014830212433605e-16,1.637889642109334e-16
constant_ratio,0.48,3.0,0.5000000000000001,0.2731782324173481,1.6653345369377348e-16,1.3116818907628416e-16
constant_ratio,0.49,3.0,0.49999999999999994,0.26963046316517475,1.594436429147036e-16,1.269468976917724e-16
constant_ratio,0.5,3.0,0.5000000000000001,0.2660826939130014,2.0014830212433605e-16,2.1922037756984646e-16
constant_ratio,0.51,3.0,0.5,0.262534924660828,7.850462293418876e-17,1.8311494069482963e-16
constant_ratio,0.52,3.0,0.5000000000000002,0.2589871554086547,3.510833468576701e-16,4.0691569523819497e-16
constant_ratio,0.53,3.0,0.5,0.2554393861564813,2.7755575615628914e-17,1.6891598596639713e-16
constant_ratio,0.54,3.0,0.5000000000000001,0.25189161690430795,5.551115123125783e-17,1.5904349309175346e-16
constant_ratio,0.55,3.0,0.5000000000000002,0.24834384765213463,3.152427400121712e-16,9.12538514889486e-17
