direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean,critic_seed
v500_parallel_to_strong,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,8.789746739935636e-05,1.2873093837519186e-05,-1.4557458521906121e-05,1.7277964354499695e-07,-23.551730382501415,-84.25447710867007,-3.716456434366324e-07,-2.9287696687356913e-05,0.7472417251755266,0.3905724657733157,-0.0543978665478961,-0.0019122551124601422,seed3
v500_orthogonal_to_strong,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,0.0002029209570124646,4.2344632800031626e-05,-5.610246886741037e-05,7.383790075735006e-06,-6.928083037977758,-7.5980584892001755,-6.117310846878281e-07,-0.00011958872781055543,0.567138671875,4.388954827187978,-7.702449164331483,-0.029386551136427325,seed3
v500_orthogonal_to_strong,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,0.00023409276378632713,3.735465197476907e-05,-2.835291281981691e-06,2.958564442326003e-06,-7.093549022741813,-0.9583334543670121,-8.322441956173373e-07,-8.629147006289318e-06,0.579731027857829,3.3351576759496524,-5.12756879454144,-0.02611078930645021,seed3
v500_orthogonal_to_strong,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,0.00017069667612707145,7.698133057622248e-05,-0.00011116814102871252,1.1958427498156825e-05,-6.693501995499059,-9.296217336756616,-4.1919924613695545e-07,-0.00023429470955558217,0.5541211519364448,5.260931141967844,-10.364266905097555,-0.03277291465679095,seed3
v500_orthogonal_to_strong,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,0.00011922937789056875,6.790998880832988e-05,-4.134211257139383e-06,4.59369985844003e-06,-20.67772196563903,-0.8999741786663694,-6.021099357765021e-07,-1.2862122372718499e-05,0.545271629778672,2.230388766159577,-2.503717214641137,-0.017388295410717267,seed3
v500_orthogonal_to_strong,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,0.00033903229097417993,3.5238143988269445e-05,-1.6485941723247544e-06,1.464699916942417e-06,-2.7290650337652727,-1.1255508061789334,-7.423161618776505e-07,-4.7618882615919835e-06,0.6112132352941176,4.09153941149096,-7.524727315148887,-0.03407968538398564,seed3
v500_orthogonal_to_strong,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,0.00023902234086173202,3.7715321801073595e-05,-1.1558174703900916e-06,1.502336305966496e-06,-0.9757293121983672,-0.7693466940789406,-1.6862178798295943e-07,-3.81397124674671e-06,0.5968534906588004,5.379952704700972,-10.37950301190862,-0.033574295549892955,seed3
v500_orthogonal_to_strong,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,0.00010100038622220705,0.00015068141306204507,-0.00022338733165941848,2.262426976742219e-05,-20.4963320530272,-9.873791903820251,-4.2837044268900554e-07,-0.00046939893308625864,0.5105315947843531,5.1366813941898855,-10.348725159233108,-0.0319554579182907,seed3
x_orthogonal,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,0.00029019211254976973,5.115535911698398e-05,-4.958389418945236e-05,1.080029725054329e-05,-4.844560480902655,-4.5909749555233885,-9.001465056776976e-07,-0.00010996808562944776,0.560546875,8.144761961365136,-30.209429508749963,-0.06117790727482766,seed3
x_orthogonal,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,0.00044226763330714906,5.7379641213603584e-05,-7.481200920452421e-06,7.047133392364812e-06,-3.7546236051015787,-1.061594907307686,-1.6644143659184137e-06,-2.2009535233269732e-05,0.5811719500480308,5.478597900758467,-14.942516801250772,-0.048791649906513516,seed3
