direction,state,alpha,m,h,predicted_coefficient,estimated_coefficient,raw_error,corrected_error
1,3,0.25,2,0.08,0.109375,0.10879540943270617,0.00033681721795483186,2.153320119110328e-05
1,3,0.25,2,0.04,0.109375,0.10892323681530125,8.417307373244178e-05,2.653145393133854e-06
1,3,0.25,2,0.02,0.109375,0.10910924507168114,2.1071426643811028e-05,3.2958813562899347e-07
1,3,0.25,2,0.01,0.109375,0.10923223146552764,5.273320499882989e-06,4.108090768369902e-08
1,3,0.25,2,0.005,0.109375,0.10930115262216533,1.3191327016949424e-06,5.128098489774074e-09
1,3,0.5,1,0.08,0.125,0.1263626673193962,0.0003914715198079313,2.9134947720316178e-05
1,3,0.5,1,0.04,0.125,0.12543386525078942,9.694895799644723e-05,3.5442190050782274e-06
1,3,0.5,1,0.02,0.125,0.12515621528670084,2.417150904956905e-05,4.374580075757219e-07
1,3,0.5,1,0.01,0.125,0.1250630727782684,6.0376396776441595e-06,5.435087288923992e-08
1,3,0.5,1,0.005,0.125,0.1250277957777901,1.508938370542161e-06,6.77366983117611e-09
1,3,0.5,2,0.08,0.1875,0.1859756631303517,0.0005761006577186759,4.198378602593674e-05
1,3,0.5,2,0.04,0.1875,0.1863668061181561,0.00014403943480823433,5.173746948452156e-06
1,3,0.5,2,0.02,0.1875,0.18684206311128743,3.608456497779227e-05,6.430306070266355e-07
1,3,0.5,2,0.01,0.1875,0.187148372532553,9.034891539755999e-06,8.01775936623829e-08
1,3,0.5,2,0.005,0.1875,0.18731854344769766,2.2607127756520435e-06,1.0010527373571109e-08
1,3,1.0,1,0.08,0.0,0.010370687980780792,3.8945854985475505e-05,3.8945854985475505e-05
1,3,1.0,1,0.04,0.0,0.004815619525950398,4.573640631746707e-06,4.573640631746707e-06
1,3,1.0,1,0.02,0.0,0.0023177093882407605,5.537776249422048e-07,5.537776249422048e-07
1,3,1.0,1,0.01,0.0,0.0011366199627253094,6.811696593289435e-08,6.811696593289435e-08
1,3,1.0,1,0.005,0.0,0.0005627875170393985,8.446020569246555e-09,8.446020569246555e-09
1,3,1.0,2,0.08,0.25,0.24892311649358145,0.0007726045555080772,7.389528033415946e-05
1,3,1.0,2,0.04,0.25,0.2486006877244442,0.00019222741365279946,9.026525274448057e-06
1,3,1.0,2,0.02,0.25,0.24908876862635804,4.8111520142028265e-05,1.1180262019675539e-06
1,3,1.0,2,0.01,0.25,0.24949194122684917,1.2044954909118228e-05,1.3919880303489596e-07
1,3,1.0,2,0.005,0.25,0.24973291593507138,3.0140004498938664e-06,1.7367946224240415e-08
1,3,1.5,1,0.08,-0.375,-0.34143740419551954,0.0010553233980439701,0.00010790890853995049
1,3,1.5,1,0.04,-0.375,-0.35840740779801605,0.00027685897683864735,1.3369989612471246e-05
1,3,1.5,1,0.02,-0.375,-0.3667473917174984,7.082027214282183e-05,1.6645495305103117e-06
1,3,1.5,1,0.01,-0.375,-0.37088419633181074,1.790446523746081e-05,2.0767145497431094e-07
1,3,1.5,1,0.005,-0.375,-0.3729446716082484,4.500964456928057e-06,2.5934760215722344e-08
1,3,1.5,2,0.08,0.1875,0.19552805524500091,0.000610289793622366,9.017056719237832e-05
1,3,1.5,2,0.04,0.1875,0.19022794350380529,0.00014729941347243865,1.0615905698024104e-05
1,3,1.5,2,0.02,0.1875,0.18854947723782542,3.6431056944110855e-05,1.2904405557734495e-06
1,3,1.5,2,0.01,0.1875,0.1879469818312983,9.074474726945205e-06,1.5916382488988776e-07
