arm,state_index,mean_spatial_channel_mean,rms_spatial_channel_mean,mean_spatial_channel_second_moment,first1024_squared_feature_difference_from_official,second1024_squared_feature_difference_from_official
official,46,-0.00010797497321188022,0.0883100897524875,0.8264059079578716,0.0,0.0
official,47,-0.00011930870586353498,0.09015010946913093,0.8206733013595824,0.0,0.0
official,48,-0.0001308892921922393,0.09208358356928802,0.8148193919274773,0.0,0.0
official,49,-0.00014288113230955288,0.09411111194886669,0.8088410739616176,0.0,0.0
official,50,-0.0001551271831250335,0.0962373076554316,0.8027352800053086,0.0,0.0
official,51,-0.000167687192354239,0.09846668959994609,0.7964985670029958,0.0,0.0
official,52,-0.00018053842462177247,0.10080177356794273,0.7901284813363323,0.0,0.0
official,53,-0.00019391288113975867,0.10324767156423648,0.7836205684839799,0.0,0.0
official,54,-0.00020763256338295934,0.10580831275345708,0.7769724325180538,0.0,0.0
official,55,-0.00022182908433104214,0.10849193387297724,0.7701820615042863,0.0,0.0
official,56,-0.00023651114866682908,0.1113019442890123,0.763245066056223,0.0,0.0
official,57,-0.0002517394984925588,0.11424643212596759,0.756159361521527,0.0,0.0
official,58,-0.00026726325274265906,0.11732896778830061,0.7489220037763169,0.0,0.0
official,59,-0.0002832232701943482,0.12055755742697796,0.7415302841987584,0.0,0.0
official,60,-0.0002998476405305082,0.12393917413702696,0.7339821557776665,0.0,0.0
official,61,-0.0003170540725899382,0.12747949711888987,0.7262753739376895,0.0,0.0
official,62,-0.0003349169203792771,0.13118801469675878,0.7184091312707179,0.0,0.0
official,63,-0.00035330730001344635,0.13506835202080733,0.7103803874058091,0.0,0.0
official,64,-0.00037252363190205763,0.1391407051804775,0.7021911759114147,0.0,0.0
official,65,-0.0003924415931732604,0.14340786697990265,0.6938395453777485,0.0,0.0
official,66,-0.00041324840858836167,0.14788856931311595,0.6853291788298876,0.0,0.0
official,67,-0.00043493630755155836,0.15259324813753486,0.6766625336949362,0.0,0.0
official,68,-0.00045756672225687493,0.15753233033983324,0.6678425966201915,0.0,0.0
official,69,-0.00048127329359240814,0.16271497932253187,0.6588711756042374,0.0,0.0
official,70,-0.0005060344551891437,0.1681616080929964,0.6497581045677321,0.0,0.0
