mode,rank,batch_index,batch_size,nfe,elapsed_seconds,endpoint_mean,endpoint_std
x,1,11,64,134,3.281144231092185,0.0685320794582367,0.8063215017318726
x,1,12,64,104,2.5547677520662546,0.05647635459899902,0.8354918956756592
x,1,13,64,128,3.13651573844254,0.06673352420330048,0.8348938822746277
x,1,14,64,86,2.1198927988298237,0.05507912486791611,0.8063268661499023
x,1,15,64,92,2.2654043789952993,0.045260071754455566,0.8003846406936646
x,1,16,64,122,2.9915510858409107,0.05561413988471031,0.814220130443573
x,1,17,64,98,2.4103149860166013,0.038788456469774246,0.8125504851341248
x,1,18,64,128,3.1371283321641386,0.05337447673082352,0.7983852028846741
x,1,19,64,110,2.7010843688622117,0.02991122379899025,0.8242020010948181
x,2,0,64,122,3.688825920689851,0.021252892911434174,0.7968032360076904
x,2,1,64,128,3.8589853793382645,0.04056483879685402,0.8345028758049011
x,2,2,64,122,3.6904747616499662,0.04579756036400795,0.8304697871208191
x,2,3,64,110,3.3475016690790653,0.0414089560508728,0.8164983987808228
x,2,4,64,104,3.173773223068565,0.031146962195634842,0.8302983045578003
x,2,5,64,110,3.346866086591035,0.0376586988568306,0.8119019865989685
x,2,6,64,110,3.3483272888697684,0.03429373353719711,0.8115219473838806
x,2,7,64,122,3.6932858121581376,0.04094327986240387,0.82425856590271
x,2,8,64,92,2.8310039811767638,0.03193621337413788,0.8252715468406677
x,2,9,64,110,3.3487783786840737,0.05966911464929581,0.8302754759788513
x,2,10,64,104,3.173541688825935,0.04982323199510574,0.8230707049369812
x,2,11,64,104,3.1762210014276206,0.030234742909669876,0.8218616843223572
x,2,12,64,110,3.348572392947972,0.04217818006873131,0.8262168765068054
x,2,13,64,122,3.6987137920223176,0.08271743357181549,0.8285021781921387
x,2,14,64,116,3.5260057002305984,0.00937611237168312,0.845260500907898
x,2,15,64,98,3.0081320060417056,0.04710051044821739,0.8143568634986877
x,2,16,64,104,3.173612187616527,0.024473819881677628,0.8088877201080322
x,2,17,64,104,3.171097128652036,0.026819903403520584,0.8288652300834656
x,2,18,64,104,3.1538229938596487,0.05647173523902893,0.8443604707717896
x,2,19,64,98,2.9649358582682908,0.08751867711544037,0.8186287879943848
x,3,0,64,86,2.117618209682405,0.07800105214118958,0.8201490640640259
x,3,1,64,104,2.5528664621524513,0.06014863774180412,0.8055170178413391
x,3,2,64,116,2.8441981463693082,0.05600486323237419,0.806445837020874
x,3,3,64,98,2.4098657332360744,0.057110726833343506,0.8174832463264465
x,3,4,64,98,2.4103645398281515,0.06285499036312103,0.8101982474327087
x,3,5,64,134,3.2820660737343132,0.08639608323574066,0.8404777646064758
x,3,6,64,98,2.410830901004374,0.037604477256536484,0.8026832342147827
x,3,7,64,110,2.7012561690062284,0.05006314441561699,0.7965573072433472
x,3,8,64,110,2.7027453631162643,0.09959996491670609,0.8196243643760681
x,3,9,64,122,2.9947090381756425,0.0031215809285640717,0.7974897027015686
x,3,10,64,104,2.5590030970051885,0.02223811484873295,0.8510468602180481
x,3,11,64,104,2.5626439382322133,0.03453654795885086,0.8177427053451538
x,3,12,64,80,1.9790806113742292,0.04191678389906883,0.8133006691932678
x,3,13,64,92,2.2722620577551425,0.038783468306064606,0.8066146969795227
x,3,14,64,110,2.709916076157242,0.06092279404401779,0.8311551809310913
x,3,15,64,140,3.4413809860125184,0.09123629331588745,0.8249131441116333
x,3,16,64,122,3.004733347799629,0.058400388807058334,0.827463686466217
x,3,17,64,116,2.8581794584169984,0.021662376821041107,0.8320829272270203
x,3,18,64,134,3.2983919009566307,0.07979081571102142,0.8096871376037598
x,3,19,64,104,2.566913804039359,0.076866015791893,0.8062198162078857
epsilon,0,0,64,80,2.68165834620595,0.05759783461689949,0.8443667888641357
epsilon,0,1,64,80,2.686827451456338,0.06420255452394485,0.8637323379516602
epsilon,0,2,64,86,2.8601139709353447,0.048588890582323074,0.8148866891860962
epsilon,0,3,64,92,2.8657681359909475,0.044837553054094315,0.8412387371063232
epsilon,0,4,64,86,2.8656313181854784,0.04029947146773338,0.8265408873558044
epsilon,0,5,64,80,2.6771638933569193,0.03336764872074127,0.844328761100769
epsilon,0,6,64,80,2.6778199677355587,0.08112657815217972,0.8221656084060669
epsilon,0,7,64,86,2.8607662660069764,0.02771545574069023,0.8247666358947754
epsilon,0,8,64,86,2.6853474536910653,0.06188887357711792,0.8484026193618774
epsilon,0,9,64,86,2.861235437914729,0.06950453668832779,0.8456298112869263
epsilon,0,10,64,80,2.68109537800774,0.08809328079223633,0.8430156111717224
